DOCUMENT_NBR,CRASH_YR,NLF_ROUTE_TYPE_CD,ODOT_LATITUDE_NBR,ODOT_LONGITUDE_NBR,SEVERITY_BY_TYPE_CD,ODPS_TOTAL_FATALITIES_NBR,INCAPAC_INJURIES_NBR,NON_INCAPAC_INJURIES_NBR,POSSIBLE_INJURIES_NBR,NO_INJURY_REPORTED_NBR,UNRESTRAIN_OCCUPANTS,NUMBER_OF_UNITS_NBR,CRASH_TYPE_CD,FHWA_RDWY_DEPARTURE_IND,ODOT_INTERSECTION_REL_IND,ODOT_CRASH_LOCATION_CD,FACILITY_TYPE_CD,FUNCTIONAL_CLASS_CD,ODOT_DIV_UNDIV_IND,ODOT_LANES_NBR,FREEWAY_IND,INTERSTATE_IND,ODOT_MAINTAINED_HWY_IND,MAINTENANCE_AUTHORITY_CD,ODOT_CITY_VILLAGE_TWP_NME,CRASH_DT,MONTH_OF_CRASH,TIME_OF_CRASH,DAY_IN_WEEK_CD,WEATHER_COND_CD,ROAD_COND_PRIMARY_CD,ROAD_COND_SECONDARY_CD,LIGHT_COND_PRIMARY_CD,ROAD_CONTOUR_CD,ODPS_ALCOHOL_IND,ODPS_DRUG_IND,ODPS_SCHOOL_ZONE_IND,ODPS_MOTORCYCLE_IND,ODPS_SPEED_IND,ODPS_SENIOR_DRIVER_IND,ODPS_WORK_ZONE_IND,ODPS_LOC_IN_WORK_ZONE_CD,ODPS_TYPE_OF_WORK_ZONE_CD,ODOT_YOUNG_DRIVER_IND,DISTRACTED_DRIVER_IND,ODPS_CITY_VILLAGE_TWP_NME,ODPS_LOC_ROAD_NME,U1_AGE_NBR,U1_GENDER_CD,U1_ALCOH_DRUG_SUSPCTD_CD,U1_DISTRACTED_BY_1_CD,U1_DISTRACTED_BY_2_CD,U2_ODPS_UNIT_NBR,U2_DIRECTION_FROM_CD,U2_DIRECTION_TO_CD,U2_TURN_CD,U2_TRAFFIC_CONTROL_CD,U2_TYPE_OF_UNIT_CD,U2_SPECIAL_FUNCTION_CD,U2_UNIT_SPEED_NBR,U2_POSTED_SPEED_NBR,U2_PRECRASH_ACTION_CD,U2_CONT_CIR_PRIMARY_CD,U2_CONT_CIR_SECONDARY_CD,U2_SEQ_OF_EVENTS_1_CD,U2_SEQ_OF_EVENTS_2_CD,U2_SEQ_OF_EVENTS_3_CD,U2_SEQ_OF_EVENTS_4_CD,U2_SEQ_OF_EVENTS_5_CD,U2_SEQ_OF_EVENTS_6_CD,U2_NON_MOTORIST_LOC_CD,U2_AGE_NBR,U2_GENDER_CD,U2_ALCOH_DRUG_SUSPCTD_CD,U2_DISTRACTED_BY_1_CD,U2_DISTRACTED_BY_2_CD
20167028644,2016,CR,40.094385,-83.174876,3,0,0,2,0,0,0,2,Angle,N,Y,2,2,5,N,2,N,N,N,4,DUBLIN,5/25/2016,5,1204,4,1,1,9,1,1,0,0,0,0,0,1,0,0,0,N,N,DUBLIN,SHIER RINGS,41,F,1,1,1,2,3,4,NT,12,3,1,35,35,1,1,,20,8,43,51,,,,73,M,1,1,1
20167028645,2016,TR,40.086374,-83.158475,1,0,0,0,0,2,0,2,Angle,N,Y,2,2,4,Y,4,N,N,N,4,DUBLIN,5/25/2016,5,2304,4,1,1,9,4,1,0,0,0,0,0,0,0,0,0,N,N,DUBLIN,WOERNER TEMPLE,59,M,1,1,1,2,1,2,NT,5,6,1,40,40,1,1,,20,,,,,,,33,M,1,1,1
20167028646,2016,CR,40.080896,-83.141293,1,0,0,0,0,2,0,2,Right Turn,N,Y,5,,4,Y,4,N,N,N,4,DUBLIN,5/24/2016,5,807,3,1,1,9,1,3,0,0,0,0,0,0,0,0,0,N,N,DUBLIN,EMERALD,47,M,1,1,1,2,3,4,NT,12,3,1,25,35,1,1,,20,,,,,,,34,F,1,1,1
20167028647,2016,CR,40.106989,-83.173221,1,0,0,0,0,7,0,2,Angle,N,Y,2,,4,N,4,N,N,N,4,DUBLIN,5/28/2016,5,1903,7,2,1,9,1,1,0,0,0,0,0,0,0,0,0,Y,N,DUBLIN,PERIMETER,17,M,1,1,1,2,3,4,NT,12,3,1,33,35,1,1,,20,,,,,,,33,M,1,1,1
20167028656,2016,MR,40.09882,-83.10071,1,0,0,0,0,2,0,2,Left Turn,N,Y,3,,6,Y,2,N,N,N,4,DUBLIN,5/28/2016,5,1354,7,2,1,9,1,1,0,0,0,0,0,1,0,0,0,N,N,DUBLIN,SHAMROCK,61,F,1,1,1,2,2,1,NT,4,3,1,5,35,1,1,,20,,,,,,,77,F,1,1,1
20167028827,2016,CR,39.953449,-82.795616,1,0,0,0,0,1,0,1,Fixed Object,Y,N,1,,5,N,2,N,N,N,4,REYNOLDSBURG,6/1/2016,6,1354,4,1,1,9,1,1,0,0,0,0,0,1,0,0,0,N,Y,REYNOLDSBURG,GRAHAM,69,F,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,
20167028833,2016,CR,39.953449,-82.795616,2,0,0,0,1,1,1,2,Sideswipe - passing,N,N,1,,5,N,2,N,N,N,4,REYNOLDSBURG,6/1/2016,6,1319,4,1,1,9,1,1,0,0,0,0,0,0,0,0,0,Y,Y,REYNOLDSBURG,GRAHAM,21,M,1,7,1,2,1,2,NT,1,3,1,,25,11,1,,20,,,,,,,53,F,1,1,1
20167028834,2016,US,39.954846,-82.826469,1,0,0,0,0,3,0,2,Rear End,N,N,1,2,3,N,4,N,N,N,4,REYNOLDSBURG,6/1/2016,6,1608,4,1,1,9,1,2,0,0,0,0,0,0,0,0,0,Y,N,REYNOLDSBURG,,24,M,1,1,1,2,3,4,NT,1,4,1,5,35,11,1,,20,,,,,,,56,M,1,1,1
20167029484,2016,MR,40.043046,-83.163189,1,0,0,0,0,1,0,2,Backing,N,N,1,,7,N,2,N,N,N,4,HILLIARD,6/1/2016,6,1239,4,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,HILLIARD,MARILYN,62,M,1,1,1,1,4,3,NT,1,3,1,,25,10,1,,20,,,,,,,,,,,
20167029945,2016,MR,39.938371,-82.829171,1,0,0,0,0,2,0,2,Left Turn,N,Y,2,,7,Y,4,N,N,N,4,REYNOLDSBURG,6/2/2016,6,601,5,1,1,9,1,1,0,0,0,0,0,1,0,0,0,N,N,REYNOLDSBURG,EASTGREEN,74,F,1,1,1,2,3,4,NT,12,4,1,25,25,1,1,,20,,,,,,,31,M,1,1,1
20167029957,2016,CR,40.013997,-83.153329,1,0,0,0,0,4,0,3,Rear End,N,Y,99,,3,N,4,N,N,N,4,HILLIARD,5/31/2016,5,1224,3,1,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,HILLIARD,HILLIARD ROME,31,F,1,1,1,1,1,2,NT,4,5,1,,35,11,1,,20,,,,,,,50,M,1,1,1
20167029960,2016,CR,40.029904,-83.161428,1,0,0,0,0,2,0,2,Right Turn,N,Y,5,,4,N,2,N,N,N,4,HILLIARD,5/31/2016,5,812,3,1,1,9,1,3,0,0,0,0,0,0,0,0,0,N,N,HILLIARD,MAIN,36,M,1,1,1,1,1,2,NT,12,3,1,15,25,1,1,,20,,,,,,,39,F,1,1,1
20167029961,2016,CR,40.032456,-83.131298,1,0,0,0,0,4,0,2,Rear End,N,Y,2,,4,Y,4,N,N,N,4,HILLIARD,5/31/2016,5,1238,3,1,1,9,1,2,0,0,0,0,0,0,0,0,0,Y,N,HILLIARD,CEMETERY,35,F,1,1,1,1,3,4,NT,4,6,1,,35,11,1,,20,,,,,,,19,M,1,1,1
20167029966,2016,CR,40.031145,-83.145912,1,0,0,0,0,3,0,2,Rear End,N,Y,1,,3,N,4,N,N,N,4,HILLIARD,6/1/2016,6,1834,4,2,1,9,1,1,0,0,0,0,0,0,0,0,0,N,N,HILLIARD,CEMETERY,46,F,1,1,1,1,3,4,NT,12,3,1,2,35,11,1,,20,,,,,,,62,M,1,1,1
20167030002,2016,TR,39.940416,-83.049004,1,0,0,0,0,1,0,1,Fixed Object,Y,N,1,,7,N,2,N,N,N,3,FRANKLIN TOWNSHIP,4/19/2016,4,438,3,1,1,9,5,1,0,0,0,0,1,0,0,0,0,N,N,FRANKLIN TOWNSHIP,REA,33,M,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
20167030007,2016,IR,39.877152,-83.050276,1,0,0,0,0,2,0,2,Sideswipe - passing,N,N,1,2,1,Y,4,Y,Y,Y,1,GROVE CITY,4/21/2016,4,720,5,2,1,9,1,1,0,0,0,0,0,0,1,4,3,N,N,JACKSON TOWNSHIP,,0,U,0,1,1,2,1,2,NT,12,3,1,55,55,1,1,,20,,,,,,,37,M,1,1,1
20167030008,2016,IR,40.010564,-82.90015,1,0,0,0,0,2,0,2,Sideswipe - passing,N,N,7,2,1,Y,6,Y,Y,Y,1,MIFFLIN TOWNSHIP,4/21/2016,4,700,5,2,1,9,9,3,0,0,0,0,0,0,0,0,0,N,N,MIFFLIN TOWNSHIP,,28,M,1,1,1,2,1,2,NT,12,6,1,65,65,8,1,,20,,,,,,,58,F,1,1,1
20167030009,2016,IR,39.891339,-83.039491,1,0,0,0,0,4,0,3,Sideswipe - passing,N,N,8,2,1,Y,4,Y,Y,Y,1,JACKSON TOWNSHIP,4/20/2016,4,1720,4,1,1,9,1,4,0,0,0,0,0,0,0,0,0,Y,N,JACKSON TOWNSHIP,,43,F,1,1,1,2,4,3,NT,12,6,1,,65,11,1,,20,,,,,,,24,F,1,1,1
20167030010,2016,US,39.951848,-83.136335,2,0,0,0,1,1,0,2,Rear End,N,Y,1,2,3,Y,4,N,N,N,1,PRAIRIE TOWNSHIP,4/19/2016,4,1545,3,1,1,9,1,1,0,0,0,0,0,0,0,0,0,Y,N,PRAIRIE TOWNSHIP,,18,M,1,1,1,2,4,3,NT,4,6,1,,35,11,1,,20,,,,,,,50,F,1,1,1
20156139530,2015,,39.993501,-82.978581,1,0,0,0,0,1,0,2,Parked Vehicle,N,N,1,2,,N,2,N,N,N,80,COLUMBUS,11/8/2015,11,0,1,1,1,0,4,1,1,1,0,0,1,0,0,0,0,N,N,COLUMBUS,TERRACE,,U,5,1,1,2,4,3,NT,1,3,1,,15,10,1,,20,,,,,,,,,,,
20166147392,2016,SR,39.985252,-82.791096,1,0,0,0,0,2,0,2,Rear End,N,N,1,2,3,N,5,N,N,N,4,COLUMBUS,10/22/2016,10,1942,7,1,1,0,4,1,1,0,0,0,0,0,0,0,0,N,N,COLUMBUS,BROAD,34,M,2,1,1,2,3,4,NT,1,6,1,45,,1,1,,20,,,,,,,36,F,1,1,1
20166038708,2016,US,40.120133,-83.016116,1,0,0,0,0,3,0,2,Rear End,N,N,1,2,3,N,6,N,N,N,4,COLUMBUS,3/24/2016,3,1945,5,4,2,0,5,1,1,0,0,0,0,0,0,0,0,Y,Y,SHARON TOWNSHIP,,40,F,3,5,1,2,1,2,NT,12,4,1,,45,11,1,,20,,,,,,,18,F,1,1,1
20166038710,2016,CR,40.01947,-82.893564,1,0,0,0,0,2,0,2,Left Turn,N,Y,2,,4,N,2,N,N,N,4,GAHANNA,3/26/2016,3,652,7,1,1,0,4,1,0,0,0,0,0,0,0,0,0,N,N,GAHANNA,AGLER,37,F,1,1,1,1,3,4,NT,4,17,1,25,25,1,1,,20,,,,,,,60,M,1,1,1
20166038722,2016,IR,40.006782,-82.875416,1,0,0,0,0,2,0,2,Rear End,N,N,1,2,1,Y,6,Y,Y,Y,1,GAHANNA,3/24/2016,3,832,5,2,1,0,1,2,0,0,0,0,0,0,0,0,0,N,N,GAHANNA,IR 270 NB,27,F,1,1,1,1,7,6,NT,12,6,2,,65,11,1,,20,,,,,,,55,M,1,1,1
20166038962,2016,MR,40.004272,-82.981449,1,0,0,0,0,2,0,1,Fixed Object,Y,Y,10,,7,N,2,N,N,N,4,COLUMBUS,3/26/2016,3,1933,7,1,1,0,1,1,0,0,0,0,1,0,0,0,0,N,Y,COLUMBUS,LEXINGTON,33,M,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,
20166038963,2016,SR,40.009442,-82.969986,1,0,0,0,0,3,0,2,Sideswipe - passing,N,Y,1,2,4,N,4,N,N,N,4,COLUMBUS,3/26/2016,3,1547,7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Y,N,COLUMBUS,CLEVELAND,,M,1,1,1,2,2,1,NT,12,4,1,35,35,1,1,,20,,,,,,,21,M,1,1,1
20166038967,2016,CR,40.100546,-82.949848,1,0,0,0,0,7,0,2,Rear End,N,Y,2,,3,N,4,N,N,N,4,COLUMBUS,3/27/2016,3,1202,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,Y,N,COLUMBUS,CLEVELAND,20,M,1,1,1,2,2,1,NT,4,2,1,15,45,11,1,,20,,,,,,,33,M,1,1,1
20166039762,2016,CR,40.032502,-83.031352,1,0,0,0,0,3,0,2,Sideswipe - passing,N,N,1,,4,Y,4,N,N,N,4,COLUMBUS,3/28/2016,3,1342,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,N,N,COLUMBUS,OLENTANGY RIVER,53,M,1,1,1,2,1,2,NT,1,2,1,35,35,1,1,,20,,,,,,,27,M,1,1,1
20166039763,2016,US,40.015109,-83.000085,1,0,0,0,0,2,0,2,Angle,N,Y,2,2,4,N,4,N,N,N,4,COLUMBUS,3/28/2016,3,1255,2,2,1,0,1,1,0,0,0,0,0,1,0,0,0,N,N,COLUMBUS,HUDSON,33,M,1,1,1,2,1,2,NT,4,2,1,10,35,1,1,,20,,,,,,,72,M,1,1,1
20166040243,2016,CR,40.014879,-82.995029,1,0,0,0,0,2,0,2,Right Turn,N,Y,10,,3,Y,4,N,N,N,4,COLUMBUS,3/29/2016,3,1241,3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,N,N,COLUMBUS,SILVER,27,M,1,1,1,2,4,1,LT,4,5,1,5,25,6,1,,20,,,,,,,37,F,1,1,1
20166040244,2016,US,39.931453,-82.995866,3,0,0,2,0,0,0,2,Rear End,N,Y,2,2,3,N,4,N,N,N,4,COLUMBUS,3/28/2016,3,1155,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,N,N,COLUMBUS,HIGH,26,F,1,1,1,2,1,2,NT,12,2,1,,35,11,1,,20,,,,,,,52,M,1,1,1
20166040246,2016,US,39.862684,-83.004219,1,0,0,0,0,5,0,2,Angle,N,N,1,2,3,Y,4,N,N,N,4,COLUMBUS,3/28/2016,3,740,2,2,1,0,1,1,0,0,0,0,0,1,0,0,0,Y,N,COLUMBUS,HIGH,25,M,1,1,1,2,1,2,NT,12,6,1,45,45,1,1,,20,,,,,,,65,M,1,1,1
20166044322,2016,US,39.962357,-82.999402,1,0,0,0,0,2,0,2,Sideswipe - passing,N,Y,2,2,3,N,6,N,N,N,4,COLUMBUS,4/1/2016,4,1100,6,2,1,0,1,2,0,0,0,0,0,0,0,0,0,N,N,COLUMBUS,4TH,,F,1,1,1,2,2,1,NT,12,3,1,45,45,1,1,,20,,,,,,,58,M,1,1,1
20166044324,2016,CR,40.031594,-83.015856,1,0,0,0,0,2,1,2,Sideswipe - passing,N,N,1,,3,N,4,N,N,N,4,COLUMBUS,3/30/2016,3,847,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,N,N,COLUMBUS,BROADWAY,,M,1,1,1,2,3,4,NT,12,3,1,10,35,1,1,,20,,,,,,,34,F,1,1,1
